network_method	network_db	network_cutoff	experiment_info	module	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	perc_rank	cumelative_dist	P	N	tp	fp	fn	tn	tot_pop_valid	MCC	pval_rank	go_slim_pir	genes	row_rank_p	row_rank_mcc	top_go	top_kegg	top_reac
M1	string	0.5	network_modules	1	TRUE	4.99018983805754e-68	510	97	63	0.6494845360824743	0.12352941176470589	GO:0007169	GO:BP	cell surface receptor protein tyrosine kinase signaling pathway	16175	2733		0	0.0017857142857142857	510	15665	63	34	447	15631	16175	0.2746757274711898	1	GO:0007155;GO:0032502;GO:0001775;GO:0036211;GO:0006793;GO:0002376;GO:0050789;GO:0050896	ENSG00000177885;ENSG00000107263;ENSG00000065361;ENSG00000115325;ENSG00000105397;ENSG00000113721;ENSG00000121966;ENSG00000112964;ENSG00000105639;ENSG00000254087;ENSG00000153317;ENSG00000066468;ENSG00000136573;ENSG00000100368;ENSG00000145715;ENSG00000173757;ENSG00000107338;ENSG00000135605;ENSG00000185338;ENSG00000160791;ENSG00000145675;ENSG00000121879;ENSG00000113494;ENSG00000169398;ENSG00000167193;ENSG00000100485;ENSG00000077238;ENSG00000007312;ENSG00000113263;ENSG00000095585;ENSG00000010671;ENSG00000141293;ENSG00000120899;ENSG00000184557;ENSG00000124181;ENSG00000109458;ENSG00000105851;ENSG00000182866;ENSG00000171105;ENSG00000185950;ENSG00000072694;ENSG00000102010;ENSG00000101336;ENSG00000165025;ENSG00000115415;ENSG00000117461;ENSG00000177455;ENSG00000012124;ENSG00000111679;ENSG00000115904;ENSG00000168610;ENSG00000096968;ENSG00000114423;ENSG00000126561;ENSG00000100385;ENSG00000051382;ENSG00000157404;ENSG00000105976;ENSG00000158092;ENSG00000027869;ENSG00000165458;ENSG00000081237;ENSG00000197122;ENSG00000187266;ENSG00000106070;ENSG00000105647;ENSG00000115085;ENSG00000160293;ENSG00000179295;ENSG00000128052;ENSG00000110395;ENSG00000134853;ENSG00000147443;ENSG00000178568;ENSG00000141968;ENSG00000122025;ENSG00000134215;ENSG00000169047;ENSG00000178562;ENSG00000171608;ENSG00000134352;ENSG00000043462;ENSG00000143322;ENSG00000010810;ENSG00000182578;ENSG00000160999;ENSG00000160691;ENSG00000143226;ENSG00000077782;ENSG00000186716;ENSG00000197943;ENSG00000099942;ENSG00000097007;ENSG00000176105;ENSG00000182511;ENSG00000102755;ENSG00000033327	1	1	GO:0007169	-	-
M1	string	0.5	network_modules	1	TRUE	6.6672940155562115e-50	47	94	30	0.3191489361702128	0.6382978723404256	REAC:R-HSA-512988	REAC	Interleukin-3, Interleukin-5 and GM-CSF signaling	10916	1246		0.0035778175313059034	0.005357142857142857	47	10869	30	64	17	10805	10916	0.4481510955285987	3	GO:0007155;GO:0032502;GO:0001775;GO:0036211;GO:0006793;GO:0002376;GO:0050789;GO:0050896	ENSG00000177885;ENSG00000107263;ENSG00000065361;ENSG00000115325;ENSG00000105397;ENSG00000113721;ENSG00000121966;ENSG00000112964;ENSG00000105639;ENSG00000254087;ENSG00000153317;ENSG00000066468;ENSG00000136573;ENSG00000100368;ENSG00000145715;ENSG00000173757;ENSG00000107338;ENSG00000135605;ENSG00000185338;ENSG00000160791;ENSG00000145675;ENSG00000121879;ENSG00000113494;ENSG00000169398;ENSG00000167193;ENSG00000100485;ENSG00000077238;ENSG00000007312;ENSG00000113263;ENSG00000095585;ENSG00000010671;ENSG00000141293;ENSG00000120899;ENSG00000184557;ENSG00000124181;ENSG00000109458;ENSG00000105851;ENSG00000182866;ENSG00000171105;ENSG00000185950;ENSG00000072694;ENSG00000102010;ENSG00000101336;ENSG00000165025;ENSG00000115415;ENSG00000117461;ENSG00000177455;ENSG00000012124;ENSG00000111679;ENSG00000115904;ENSG00000168610;ENSG00000096968;ENSG00000114423;ENSG00000126561;ENSG00000100385;ENSG00000051382;ENSG00000157404;ENSG00000105976;ENSG00000158092;ENSG00000027869;ENSG00000165458;ENSG00000081237;ENSG00000197122;ENSG00000187266;ENSG00000106070;ENSG00000105647;ENSG00000115085;ENSG00000160293;ENSG00000179295;ENSG00000128052;ENSG00000110395;ENSG00000134853;ENSG00000147443;ENSG00000178568;ENSG00000141968;ENSG00000122025;ENSG00000134215;ENSG00000169047;ENSG00000178562;ENSG00000171608;ENSG00000134352;ENSG00000043462;ENSG00000143322;ENSG00000010810;ENSG00000182578;ENSG00000160999;ENSG00000160691;ENSG00000143226;ENSG00000077782;ENSG00000186716;ENSG00000197943;ENSG00000099942;ENSG00000097007;ENSG00000176105;ENSG00000182511;ENSG00000102755;ENSG00000033327	1	1	-	-	REAC:R-HSA-512988
M1	string	0.5	network_modules	1	TRUE	4.4186905871251545e-30	84	93	26	0.27956989247311825	0.30952380952380953	KEGG:04012	KEGG	ErbB signaling pathway	8484	245		0.028622540250447227	0.030357142857142857	84	8400	26	67	58	8333	8484	0.2867390585366288	17	GO:0007155;GO:0032502;GO:0001775;GO:0036211;GO:0006793;GO:0002376;GO:0050789;GO:0050896	ENSG00000177885;ENSG00000107263;ENSG00000065361;ENSG00000115325;ENSG00000105397;ENSG00000113721;ENSG00000121966;ENSG00000112964;ENSG00000105639;ENSG00000254087;ENSG00000153317;ENSG00000066468;ENSG00000136573;ENSG00000100368;ENSG00000145715;ENSG00000173757;ENSG00000107338;ENSG00000135605;ENSG00000185338;ENSG00000160791;ENSG00000145675;ENSG00000121879;ENSG00000113494;ENSG00000169398;ENSG00000167193;ENSG00000100485;ENSG00000077238;ENSG00000007312;ENSG00000113263;ENSG00000095585;ENSG00000010671;ENSG00000141293;ENSG00000120899;ENSG00000184557;ENSG00000124181;ENSG00000109458;ENSG00000105851;ENSG00000182866;ENSG00000171105;ENSG00000185950;ENSG00000072694;ENSG00000102010;ENSG00000101336;ENSG00000165025;ENSG00000115415;ENSG00000117461;ENSG00000177455;ENSG00000012124;ENSG00000111679;ENSG00000115904;ENSG00000168610;ENSG00000096968;ENSG00000114423;ENSG00000126561;ENSG00000100385;ENSG00000051382;ENSG00000157404;ENSG00000105976;ENSG00000158092;ENSG00000027869;ENSG00000165458;ENSG00000081237;ENSG00000197122;ENSG00000187266;ENSG00000106070;ENSG00000105647;ENSG00000115085;ENSG00000160293;ENSG00000179295;ENSG00000128052;ENSG00000110395;ENSG00000134853;ENSG00000147443;ENSG00000178568;ENSG00000141968;ENSG00000122025;ENSG00000134215;ENSG00000169047;ENSG00000178562;ENSG00000171608;ENSG00000134352;ENSG00000043462;ENSG00000143322;ENSG00000010810;ENSG00000182578;ENSG00000160999;ENSG00000160691;ENSG00000143226;ENSG00000077782;ENSG00000186716;ENSG00000197943;ENSG00000099942;ENSG00000097007;ENSG00000176105;ENSG00000182511;ENSG00000102755;ENSG00000033327	1	1	-	KEGG:04012	-
M1	string	0.5	network_modules	2	TRUE	1.3683813405627314e-42	104	84	30	0.35714285714285715	0.28846153846153844	GO:0000045	GO:BP	autophagosome assembly	16175	17		0.07407407407407407	0.09090909090909091	104	16071	30	54	74	16017	16175	0.3170343970493685	5	GO:0007033;GO:0006914;GO:0050789;GO:0022607;GO:0050896	ENSG00000106052;ENSG00000078142;ENSG00000196455;ENSG00000161011;ENSG00000057663;ENSG00000145782;ENSG00000197548;ENSG00000152348;ENSG00000188554;ENSG00000157625;ENSG00000150764;ENSG00000123240;ENSG00000034713;ENSG00000120696;ENSG00000184584;ENSG00000023287;ENSG00000167965;ENSG00000083290;ENSG00000175224;ENSG00000145016;ENSG00000126775;ENSG00000157954;ENSG00000205356;ENSG00000144848;ENSG00000101844;ENSG00000101460;ENSG00000170296;ENSG00000068028;ENSG00000168397;ENSG00000177169;ENSG00000165861;ENSG00000078804;ENSG00000148572;ENSG00000163625;ENSG00000139112;ENSG00000123395;ENSG00000197769;ENSG00000104969;ENSG00000149557;ENSG00000187239;ENSG00000085382;ENSG00000266094;ENSG00000147894;ENSG00000151150;ENSG00000145362;ENSG00000189067;ENSG00000173805;ENSG00000124092;ENSG00000063176;ENSG00000000457;ENSG00000183283;ENSG00000163346;ENSG00000136874;ENSG00000121749;ENSG00000104946;ENSG00000168010;ENSG00000139445;ENSG00000132872;ENSG00000265491;ENSG00000160145;ENSG00000155961;ENSG00000164253;ENSG00000154153;ENSG00000222028;ENSG00000075399;ENSG00000184979;ENSG00000104951;ENSG00000163820;ENSG00000172007;ENSG00000011454;ENSG00000124243;ENSG00000172403;ENSG00000156232;ENSG00000118997;ENSG00000237693;ENSG00000130479;ENSG00000206418;ENSG00000178809;ENSG00000178685;ENSG00000196289;ENSG00000060140;ENSG00000103150;ENSG00000276600;ENSG00000274145;ENSG00000130734;ENSG00000134121;ENSG00000174885;ENSG00000066739	4	1	GO:0000045	-	-
M1	string	0.5	network_modules	2	TRUE	3.383716690665999e-34	32	65	20	0.3076923076923077	0.625	KEGG:04136	KEGG	Autophagy - other	8484	273		0.12962962962962962	0.14545454545454545	32	8452	20	45	12	8407	8484	0.4356446127638332	8	GO:0007033;GO:0006914;GO:0050789;GO:0022607;GO:0050896	ENSG00000106052;ENSG00000078142;ENSG00000196455;ENSG00000161011;ENSG00000057663;ENSG00000145782;ENSG00000197548;ENSG00000152348;ENSG00000188554;ENSG00000157625;ENSG00000150764;ENSG00000123240;ENSG00000034713;ENSG00000120696;ENSG00000184584;ENSG00000023287;ENSG00000167965;ENSG00000083290;ENSG00000175224;ENSG00000145016;ENSG00000126775;ENSG00000157954;ENSG00000205356;ENSG00000144848;ENSG00000101844;ENSG00000101460;ENSG00000170296;ENSG00000068028;ENSG00000168397;ENSG00000177169;ENSG00000165861;ENSG00000078804;ENSG00000148572;ENSG00000163625;ENSG00000139112;ENSG00000123395;ENSG00000197769;ENSG00000104969;ENSG00000149557;ENSG00000187239;ENSG00000085382;ENSG00000266094;ENSG00000147894;ENSG00000151150;ENSG00000145362;ENSG00000189067;ENSG00000173805;ENSG00000124092;ENSG00000063176;ENSG00000000457;ENSG00000183283;ENSG00000163346;ENSG00000136874;ENSG00000121749;ENSG00000104946;ENSG00000168010;ENSG00000139445;ENSG00000132872;ENSG00000265491;ENSG00000160145;ENSG00000155961;ENSG00000164253;ENSG00000154153;ENSG00000222028;ENSG00000075399;ENSG00000184979;ENSG00000104951;ENSG00000163820;ENSG00000172007;ENSG00000011454;ENSG00000124243;ENSG00000172403;ENSG00000156232;ENSG00000118997;ENSG00000237693;ENSG00000130479;ENSG00000206418;ENSG00000178809;ENSG00000178685;ENSG00000196289;ENSG00000060140;ENSG00000103150;ENSG00000276600;ENSG00000274145;ENSG00000130734;ENSG00000134121;ENSG00000174885;ENSG00000066739	2	1	-	KEGG:04136	-
M1	string	0.5	network_modules	2	TRUE	6.022087497845374e-31	134	50	24	0.48	0.1791044776119403	REAC:R-HSA-1632852	REAC	Macroautophagy	10916	1388		0.14814814814814814	0.16363636363636364	134	10782	24	26	110	10756	10916	0.28813875855043675	9	GO:0007033;GO:0006914;GO:0050789;GO:0022607;GO:0050896	ENSG00000106052;ENSG00000078142;ENSG00000196455;ENSG00000161011;ENSG00000057663;ENSG00000145782;ENSG00000197548;ENSG00000152348;ENSG00000188554;ENSG00000157625;ENSG00000150764;ENSG00000123240;ENSG00000034713;ENSG00000120696;ENSG00000184584;ENSG00000023287;ENSG00000167965;ENSG00000083290;ENSG00000175224;ENSG00000145016;ENSG00000126775;ENSG00000157954;ENSG00000205356;ENSG00000144848;ENSG00000101844;ENSG00000101460;ENSG00000170296;ENSG00000068028;ENSG00000168397;ENSG00000177169;ENSG00000165861;ENSG00000078804;ENSG00000148572;ENSG00000163625;ENSG00000139112;ENSG00000123395;ENSG00000197769;ENSG00000104969;ENSG00000149557;ENSG00000187239;ENSG00000085382;ENSG00000266094;ENSG00000147894;ENSG00000151150;ENSG00000145362;ENSG00000189067;ENSG00000173805;ENSG00000124092;ENSG00000063176;ENSG00000000457;ENSG00000183283;ENSG00000163346;ENSG00000136874;ENSG00000121749;ENSG00000104946;ENSG00000168010;ENSG00000139445;ENSG00000132872;ENSG00000265491;ENSG00000160145;ENSG00000155961;ENSG00000164253;ENSG00000154153;ENSG00000222028;ENSG00000075399;ENSG00000184979;ENSG00000104951;ENSG00000163820;ENSG00000172007;ENSG00000011454;ENSG00000124243;ENSG00000172403;ENSG00000156232;ENSG00000118997;ENSG00000237693;ENSG00000130479;ENSG00000206418;ENSG00000178809;ENSG00000178685;ENSG00000196289;ENSG00000060140;ENSG00000103150;ENSG00000276600;ENSG00000274145;ENSG00000130734;ENSG00000134121;ENSG00000174885;ENSG00000066739	1	1	-	-	REAC:R-HSA-1632852
M1	string	0.5	network_modules	3	TRUE	1.8687622250168195e-10	31	45	8	0.17777777777777778	0.25806451612903225	KEGG:03060	KEGG	Protein export	8484	217		0.06666666666666667	0.0967741935483871	31	8453	8	37	23	8416	8484	0.2107334030554932	3	GO:0015031	ENSG00000103249;ENSG00000214253;ENSG00000107159;ENSG00000106803;ENSG00000136986;ENSG00000167323;ENSG00000058262;ENSG00000115307;ENSG00000198060;ENSG00000117868;ENSG00000144224;ENSG00000182827;ENSG00000174106;ENSG00000154305;ENSG00000141458;ENSG00000182220;ENSG00000136770;ENSG00000144746;ENSG00000101294;ENSG00000025796;ENSG00000136699;ENSG00000169359;ENSG00000114902;ENSG00000119977;ENSG00000196396;ENSG00000139636;ENSG00000170876;ENSG00000008952;ENSG00000176915;ENSG00000099797;ENSG00000198171;ENSG00000089351;ENSG00000164615;ENSG00000138073;ENSG00000105701;ENSG00000162298;ENSG00000121940;ENSG00000071553;ENSG00000204977;ENSG00000028116;ENSG00000058804;ENSG00000110057;ENSG00000102158;ENSG00000126777;ENSG00000118363;ENSG00000116857;ENSG00000072849;ENSG00000144468;ENSG00000169446;ENSG00000136026;ENSG00000072210;ENSG00000177119;ENSG00000187049;ENSG00000004866;ENSG00000124783;ENSG00000107897;ENSG00000067167;ENSG00000129128;ENSG00000095209;ENSG00000139921;ENSG00000104369;ENSG00000129667;ENSG00000101856;ENSG00000204178;ENSG00000143337;ENSG00000204525;ENSG00000173040;ENSG00000109689;ENSG00000137824;ENSG00000146842;ENSG00000244045;ENSG00000164040;ENSG00000158669;ENSG00000115310;ENSG00000186889;ENSG00000182934;ENSG00000139641;ENSG00000168778;ENSG00000102531;ENSG00000164953;ENSG00000163527;ENSG00000160131;ENSG00000147383;ENSG00000166224;ENSG00000138678	2	1	-	KEGG:03060	-
M1	string	0.5	network_modules	3	TRUE	3.05215750450054e-9	18	78	7	0.08974358974358974	0.3888888888888889	GO:0006613	GO:BP	cotranslational protein targeting to membrane	16175	2328		0.13333333333333333	0.16129032258064516	18	16157	7	71	11	16086	16175	0.18504910262074836	5	GO:0015031	ENSG00000103249;ENSG00000214253;ENSG00000107159;ENSG00000106803;ENSG00000136986;ENSG00000167323;ENSG00000058262;ENSG00000115307;ENSG00000198060;ENSG00000117868;ENSG00000144224;ENSG00000182827;ENSG00000174106;ENSG00000154305;ENSG00000141458;ENSG00000182220;ENSG00000136770;ENSG00000144746;ENSG00000101294;ENSG00000025796;ENSG00000136699;ENSG00000169359;ENSG00000114902;ENSG00000119977;ENSG00000196396;ENSG00000139636;ENSG00000170876;ENSG00000008952;ENSG00000176915;ENSG00000099797;ENSG00000198171;ENSG00000089351;ENSG00000164615;ENSG00000138073;ENSG00000105701;ENSG00000162298;ENSG00000121940;ENSG00000071553;ENSG00000204977;ENSG00000028116;ENSG00000058804;ENSG00000110057;ENSG00000102158;ENSG00000126777;ENSG00000118363;ENSG00000116857;ENSG00000072849;ENSG00000144468;ENSG00000169446;ENSG00000136026;ENSG00000072210;ENSG00000177119;ENSG00000187049;ENSG00000004866;ENSG00000124783;ENSG00000107897;ENSG00000067167;ENSG00000129128;ENSG00000095209;ENSG00000139921;ENSG00000104369;ENSG00000129667;ENSG00000101856;ENSG00000204178;ENSG00000143337;ENSG00000204525;ENSG00000173040;ENSG00000109689;ENSG00000137824;ENSG00000146842;ENSG00000244045;ENSG00000164040;ENSG00000158669;ENSG00000115310;ENSG00000186889;ENSG00000182934;ENSG00000139641;ENSG00000168778;ENSG00000102531;ENSG00000164953;ENSG00000163527;ENSG00000160131;ENSG00000147383;ENSG00000166224;ENSG00000138678	3	1	GO:0006613	-	-
M1	string	0.5	network_modules	4	TRUE	3.7368305655981125e-19	742	74	31	0.4189189189189189	0.04177897574123989	GO:0019752	GO:BP	carboxylic acid metabolic process	16175	6036		0	0.008928571428571428	742	15433	31	43	711	15390	16175	0.12088393331074754	1	GO:0009117;GO:0006520;GO:0005975;GO:0006082	ENSG00000137944;ENSG00000114491;ENSG00000120053;ENSG00000074964;ENSG00000143412;ENSG00000106853;ENSG00000183044;ENSG00000147471;ENSG00000109107;ENSG00000140263;ENSG00000169154;ENSG00000142657;ENSG00000206075;ENSG00000170502;ENSG00000124357;ENSG00000176890;ENSG00000125166;ENSG00000171989;ENSG00000073803;ENSG00000180957;ENSG00000103876;ENSG00000167699;ENSG00000112972;ENSG00000149313;ENSG00000256269;ENSG00000105220;ENSG00000151552;ENSG00000099810;ENSG00000102172;ENSG00000198931;ENSG00000166796;ENSG00000180817;ENSG00000240344;ENSG00000148834;ENSG00000130313;ENSG00000107651;ENSG00000023909;ENSG00000170950;ENSG00000054148;ENSG00000095380;ENSG00000138061;ENSG00000139684;ENSG00000165704;ENSG00000102024;ENSG00000142634;ENSG00000115919;ENSG00000086205;ENSG00000104325;ENSG00000164237;ENSG00000173992;ENSG00000085662;ENSG00000079739;ENSG00000117448;ENSG00000108578;ENSG00000119125;ENSG00000138363;ENSG00000101977;ENSG00000147588;ENSG00000164434;ENSG00000164144;ENSG00000108061;ENSG00000111669;ENSG00000141401;ENSG00000163655;ENSG00000170276;ENSG00000164111;ENSG00000169299;ENSG00000151005;ENSG00000180185;ENSG00000001084;ENSG00000014641;ENSG00000168734;ENSG00000160211;ENSG00000124767;ENSG00000163281;ENSG00000173221;ENSG00000171314;ENSG00000013583;ENSG00000023572;ENSG00000114956	1	4	GO:0019752	-	-
M1	string	0.5	network_modules	4	TRUE	2.0761832420364612e-12	50	60	11	0.18333333333333332	0.22	KEGG:00270	KEGG	Cysteine and methionine metabolism	8484	30		0.036036036036036036	0.044642857142857144	50	8434	11	49	39	8385	8484	0.1956440107096741	5	GO:0009117;GO:0006520;GO:0005975;GO:0006082	ENSG00000137944;ENSG00000114491;ENSG00000120053;ENSG00000074964;ENSG00000143412;ENSG00000106853;ENSG00000183044;ENSG00000147471;ENSG00000109107;ENSG00000140263;ENSG00000169154;ENSG00000142657;ENSG00000206075;ENSG00000170502;ENSG00000124357;ENSG00000176890;ENSG00000125166;ENSG00000171989;ENSG00000073803;ENSG00000180957;ENSG00000103876;ENSG00000167699;ENSG00000112972;ENSG00000149313;ENSG00000256269;ENSG00000105220;ENSG00000151552;ENSG00000099810;ENSG00000102172;ENSG00000198931;ENSG00000166796;ENSG00000180817;ENSG00000240344;ENSG00000148834;ENSG00000130313;ENSG00000107651;ENSG00000023909;ENSG00000170950;ENSG00000054148;ENSG00000095380;ENSG00000138061;ENSG00000139684;ENSG00000165704;ENSG00000102024;ENSG00000142634;ENSG00000115919;ENSG00000086205;ENSG00000104325;ENSG00000164237;ENSG00000173992;ENSG00000085662;ENSG00000079739;ENSG00000117448;ENSG00000108578;ENSG00000119125;ENSG00000138363;ENSG00000101977;ENSG00000147588;ENSG00000164434;ENSG00000164144;ENSG00000108061;ENSG00000111669;ENSG00000141401;ENSG00000163655;ENSG00000170276;ENSG00000164111;ENSG00000169299;ENSG00000151005;ENSG00000180185;ENSG00000001084;ENSG00000014641;ENSG00000168734;ENSG00000160211;ENSG00000124767;ENSG00000163281;ENSG00000173221;ENSG00000171314;ENSG00000013583;ENSG00000023572;ENSG00000114956	1	1	-	KEGG:00270	-
