experiment_info	module	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	goslim_pir	perc_rank	cumelative_dist	monet_type	genes	rank	P	N	tp	fp	fn	tn	tot_pop_valid	mcc
e019_R1	1	TRUE	2.236291956613911e-21	163	25	15	0.6	0.09202453987730061	GO:0016482	GO:BP	cytosolic transport	16324	5359		GO:0051641;GO:0016192	0	0.038461538461538464	R1	-	1	163	16161	15	10	148	16151	16324	0.23240797517535594
e019_R1	2	TRUE	4.490486697529842e-6	57	16	5	0.3125	0.08771929824561403	REAC:R-HSA-3371497	REAC	HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand	10790	1053		GO:0051641;GO:0009057;GO:0016070;GO:0015931;GO:0050789	0	0.05	R1	-	1	57	10733	5	11	52	10722	10790	0.1633204882280268
e019_R1	3	TRUE	1.1650114865691454e-17	122	29	13	0.4482758620689655	0.10655737704918032	GO:0001936	GO:BP	regulation of endothelial cell proliferation	16324	565		GO:0032502;GO:0050789;GO:0040011;GO:0008283	0	0.009900990099009901	R1	-	1	122	16202	13	16	109	16186	16324	0.21591257175602366
e019_R1	4	TRUE	9.333388865927246e-7	77	22	6	0.2727272727272727	0.07792207792207792	GO:0051453	GO:BP	regulation of intracellular pH	16324	14493		GO:0050789;GO:0050896;GO:0065009	0	0.022222222222222223	R1	-	1	77	16247	6	16	71	16231	16324	0.14369345942049083
e019_R1	5	TRUE	2.190377735181657e-12	12	20	6	0.3	0.5	GO:1905907	GO:BP	negative regulation of amyloid fibril formation	16324	26232		GO:0050789;GO:0019538;GO:0016043	0	0.07692307692307693	R1	-	1	12	16312	6	14	6	16298	16324	0.3867283707797637
e019_R1	6	TRUE	2.4001181325953714e-23	100	17	13	0.7647058823529411	0.13	GO:0007605	GO:BP	sensory perception of sound	16324	3136		GO:0032502;GO:0050877	0	0.02702702702702703	R1	-	1	100	16224	13	4	87	16220	16324	0.31389644142740497
e019_R1	7	TRUE	3.340171302127511e-23	9	27	9	0.3333333333333333	1	GO:0090522	GO:BP	vesicle tethering involved in exocytosis	16324	19367		GO:0046903;GO:0061024;GO:0051640;GO:0016192;GO:0022406	0	0.024390243902439025	R1	-	1	9	16315	9	18	0	16297	16324	0.5770316920265505
e019_R1	8	TRUE	5.366648142069978e-26	35	22	13	0.5909090909090909	0.37142857142857144	REAC:R-HSA-5663213	REAC	RHO GTPases Activate WASPs and WAVEs	10790	1760		GO:0006996	0	0.021739130434782608	R1	-	1	35	10755	13	9	22	10746	10790	0.46714974295998385
e019_R1	9	TRUE	7.783990727442596e-34	77	24	19	0.7916666666666666	0.24675324675324675	KEGG:05412	KEGG	Arrhythmogenic right ventricular cardiomyopathy	8161	483		GO:0006811;GO:0015031;GO:0016192;GO:0007154;GO:0050789;GO:0065009	0	0.007751937984496124	R1	-	1	77	8084	19	5	58	8079	8161	0.43943399707724096
e019_R1	10	TRUE	5.199230561119847e-25	342	18	17	0.9444444444444444	0.049707602339181284	GO:0016055	GO:BP	Wnt signaling pathway	16324	5210		GO:0032502;GO:0050789;GO:0007154	0	0.012195121951219513	R1	-	1	342	15982	17	1	325	15981	16324	0.21423698073701536
e019_R1	11	TRUE	1.3304066090331397e-30	15	23	12	0.5217391304347826	0.8	GO:1904507	GO:BP	positive regulation of telomere maintenance in response to DNA damage	16324	25027		GO:0050789;GO:0051276;GO:0050896;GO:0006259	0	0.020833333333333332	R1	-	1	15	16309	12	11	3	16298	16324	0.6456719744994194
e019_R1	12	TRUE	3.302267651524557e-13	81	23	10	0.43478260869565216	0.12345679012345678	KEGG:04662	KEGG	B cell receptor signaling pathway	8161	333		GO:0002376;GO:0050789	0	0.025	R1	-	1	81	8080	10	13	71	8067	8161	0.22784704669983638
e019_R1	13	TRUE	2.672824275493901e-23	19	32	11	0.34375	0.5789473684210527	GO:0042659	GO:BP	regulation of cell fate specification	16324	10850		GO:0032502;GO:0050789;GO:0016043	0	0.02564102564102564	R1	-	1	19	16305	11	21	8	16284	16324	0.44529402933575774
e019_R1	14	TRUE	4.2638752393337763e-32	31	21	14	0.6666666666666666	0.45161290322580644	GO:0099022	GO:BP	vesicle tethering	16324	20073		GO:0016050;GO:0061024	0	0.045454545454545456	R1	-	1	31	16293	14	7	17	16286	16324	0.548013115350418
e019_R1	15	TRUE	6.680594300142552e-24	84	25	15	0.6	0.17857142857142858	REAC:R-HSA-216083	REAC	Integrin cell surface interactions	10790	1156		GO:0050789;GO:0007155	0	0.03225806451612903	R1	-	1	84	10706	15	10	69	10696	10790	0.32472115485562264
e019_R1	16	TRUE	2.2470030328530332e-23	34	14	11	0.7857142857142857	0.3235294117647059	KEGG:04710	KEGG	Circadian rhythm	8161	339		GO:0050789;GO:0050896;GO:0048511	0	0.02631578947368421	R1	-	1	34	8127	11	3	23	8124	8161	0.5029903779486863
e019_R1	17	TRUE	2.361346102649246e-15	183	22	12	0.5454545454545454	0.06557377049180328	GO:0006457	GO:BP	protein folding	16324	2254		GO:0050896;GO:0006457	0	0.06666666666666667	R1	-	1	183	16141	12	10	171	16131	16324	0.18640880350750158
e019_R1	18	TRUE	3.918823469726569e-35	37	24	17	0.7083333333333334	0.4594594594594595	KEGG:05332	KEGG	Graft-versus-host disease	8161	480		GO:0002376;GO:0050789;GO:0065003;GO:0001775	0	0.007751937984496124	R1	-	1	37	8124	17	7	20	8117	8161	0.5689577554946946
e019_R1	19	TRUE	6.261657973076754e-11	8	16	5	0.3125	0.625	REAC:R-HSA-8851805	REAC	MET activates RAS signaling	10790	1298		NA	0	0.027777777777777776	R1	-	1	8	10782	5	11	3	10771	10790	0.4413841134483552
e019_R1	20	TRUE	3.6839866198973656e-13	115	33	11	0.3333333333333333	0.09565217391304348	GO:0050852	GO:BP	T cell receptor signaling pathway	16324	14053		GO:0002376;GO:0050789	0	0.022222222222222223	R1	-	1	115	16209	11	22	104	16187	16324	0.17558378584722517
